,Chromosome,Start,gene_name,gene_id,Strand,K562
53289,chrX,101348742,TIMM8A,ENSG00000126953.8,-,143.4007110595703
45355,chr19,16888998,F2RL3,ENSG00000127533.4,+,143.43112182617188
26552,chr10,120851361,WDR11,ENSG00000120008.16,+,143.44786071777344
21185,chr7,100436497,PPP1R35,ENSG00000160813.7,-,143.60885620117188
20443,chr7,151232482,CHPF2,ENSG00000033100.17,+,143.61492919921875
50677,chr22,35257492,HMGXB4,ENSG00000100281.14,+,143.62156677246094
44761,chr19,531759,CDC34,ENSG00000099804.9,+,143.63638305664062
53792,chrY,57067864,VAMP7,ENSG00000292366.1,+,143.64425659179688
50986,chr22,19144651,ESS2,ENSG00000100056.12,-,143.65689086914062
30226,chr11,64166113,MACROD1,ENSG00000133315.12,-,143.71286010742188
5072,chr1,241640369,OPN3,ENSG00000054277.14,-,143.74925231933594
5073,chr1,241640369,CHML,ENSG00000203668.3,-,143.74925231933594
20617,chr7,20217404,MACC1,ENSG00000183742.13,-,143.7548370361328
12786,chr4,139665834,MGST2,ENSG00000085871.9,+,143.77784729003906
50509,chr22,24270830,SPECC1L,ENSG00000100014.20,+,143.86721801757812
5716,chr2,74529971,HTRA2,ENSG00000115317.13,+,143.91107177734375
46948,chr19,5791163,DUS3L,ENSG00000141994.16,-,144.00161743164062
18220,chr6,33271876,VPS52,ENSG00000223501.9,-,144.002685546875
27299,chr10,100286680,BLOC1S2,ENSG00000196072.12,-,144.10519409179688
12203,chr4,26321013,RBPJ,ENSG00000168214.22,+,144.1064910888672
6418,chr2,189784449,PMS1,ENSG00000064933.19,+,144.11737060546875
20909,chr7,73522278,BAZ1B,ENSG00000009954.11,-,144.15679931640625
45296,chr19,14381434,ADGRE5,ENSG00000123146.20,+,144.2437744140625
1244,chr1,89821031,LRRC8D,ENSG00000171492.14,+,144.2707061767578
21977,chr8,37736624,ERLIN2,ENSG00000147475.17,+,144.2954864501953
27036,chr10,68075283,HERC4,ENSG00000148634.16,-,144.31008911132812
30780,chr11,107858787,SLC35F2,ENSG00000110660.15,-,144.34375
15472,chr5,7869031,FASTKD3,ENSG00000124279.12,-,144.3512725830078
25124,chr9,97697340,XPA,ENSG00000136936.11,-,144.40997314453125
32376,chr12,113358565,PLBD2,ENSG00000151176.8,+,144.43663024902344
27282,chr10,98446920,ENSG00000289758,ENSG00000289758.1,-,144.45619201660156
29663,chr11,8682632,TRIM66,ENSG00000166436.18,-,144.4956512451172
21377,chr7,123749003,WASL,ENSG00000106299.8,-,144.49827575683594
18114,chr6,30744547,IER3,ENSG00000137331.12,-,144.55148315429688
48364,chr19,56121250,ZNF787,ENSG00000142409.6,-,144.5620880126953
25850,chr10,45727199,WASHC2C,ENSG00000172661.20,+,144.6243133544922
5144,chr1,248859085,ZNF692,ENSG00000171163.16,-,144.67201232910156
37521,chr15,25439051,UBE3A,ENSG00000114062.22,-,144.6760711669922
40616,chr16,88785220,PIEZO1,ENSG00000103335.22,-,144.68606567382812
12095,chr4,6782726,KIAA0232,ENSG00000170871.12,+,144.69149780273438
22157,chr8,63168552,YTHDF3,ENSG00000185728.17,+,144.75050354003906
35448,chr14,74493764,ISCA2,ENSG00000165898.14,+,144.77174377441406
228,chr1,12167002,TNFRSF1B,ENSG00000028137.19,+,144.77984619140625
43981,chr18,11851412,CHMP1B,ENSG00000255112.3,+,144.79971313476562
16037,chr5,132777220,SEPTIN8,ENSG00000164402.14,-,144.80101013183594
19252,chr7,7640775,UMAD1,ENSG00000219545.12,+,144.80950927734375
6458,chr2,197705368,MARS2,ENSG00000247626.5,+,144.8508758544922
23130,chr8,73878854,ENSG00000258677,ENSG00000258677.2,-,144.89581298828125
35422,chr14,73645008,DNAL1,ENSG00000119661.15,+,145.0717010498047
34708,chr13,78659155,OBI1,ENSG00000152193.8,-,145.0821533203125
41566,chr17,47941570,PNPO,ENSG00000108439.11,+,145.08311462402344
44888,chr19,2163932,DOT1L,ENSG00000104885.19,+,145.15318298339844
3770,chr1,84690468,SSX2IP,ENSG00000117155.17,-,145.15478515625
43639,chr17,75261600,GGA3,ENSG00000125447.18,-,145.21591186523438
9842,chr3,129249605,COPG1,ENSG00000181789.14,+,145.22227478027344
41364,chr17,42288468,STAT5A,ENSG00000126561.18,+,145.2337646484375
36975,chr15,49170246,GALK2,ENSG00000156958.15,+,145.35885620117188
6384,chr2,183124442,NUP35,ENSG00000163002.13,+,145.36680603027344
12996,chr4,174283903,CEP44,ENSG00000164118.13,+,145.4188232421875
36910,chr15,44288732,GOLM2,ENSG00000166734.20,+,145.53277587890625
867,chr1,43970009,DPH2,ENSG00000132768.14,+,145.57901000976562
29722,chr11,10858053,ZBED5,ENSG00000236287.8,-,145.60549926757812
30168,chr11,62646632,GANAB,ENSG00000089597.18,-,145.6449432373047
7777,chr2,105399061,FHL2,ENSG00000115641.19,-,145.77975463867188
44552,chr18,46917503,PIAS2,ENSG00000078043.16,-,145.79373168945312
47215,chr19,13116649,TRMT1,ENSG00000104907.13,-,145.817138671875
49957,chr21,39380325,GET1,ENSG00000182093.16,+,145.84625244140625
18677,chr6,89638734,LYRM2,ENSG00000083099.11,-,145.9131622314453
24214,chr9,122371038,PTGS1,ENSG00000095303.17,+,145.92031860351562
1170,chr1,77779648,MIGA1,ENSG00000180488.17,+,145.9317626953125
7085,chr2,9555784,ADAM17,ENSG00000151694.15,-,145.95721435546875
28910,chr11,82901741,DDIAS,ENSG00000165490.13,+,146.00137329101562
25220,chr9,112718149,INIP,ENSG00000148153.14,-,146.00575256347656
40988,chr17,18088006,DRG2,ENSG00000108591.10,+,146.0337371826172
23681,chr9,4679568,CDC37L1,ENSG00000106993.12,+,146.03768920898438
43738,chr17,78128738,TMC6,ENSG00000141524.19,-,146.06407165527344
18422,chr6,43629264,GTPBP2,ENSG00000172432.19,-,146.1346435546875
38928,chr16,29454561,SLX1B,ENSG00000181625.18,+,146.14720153808594
6299,chr2,172556050,PDK1,ENSG00000152256.14,+,146.2024383544922
38315,chr16,53827,SNRNP25,ENSG00000161981.11,+,146.2463836669922
10240,chr3,183697796,YEATS2,ENSG00000163872.16,+,146.2467498779297
19839,chr7,98878489,TRRAP,ENSG00000196367.15,+,146.32278442382812
4369,chr1,155857204,GON4L,ENSG00000116580.20,-,146.32748413085938
45569,chr19,29942238,URI1,ENSG00000105176.18,+,146.40476989746094
34311,chr13,102846031,ERCC5,ENSG00000134899.24,+,146.42251586914062
9428,chr3,57556275,PDE12,ENSG00000174840.9,+,146.5689697265625
37646,chr15,41332591,OIP5,ENSG00000104147.9,-,146.59092712402344
31258,chr12,8082265,NECAP1,ENSG00000089818.18,+,146.60861206054688
46854,chr19,2740048,ENSG00000267001,ENSG00000267001.1,-,146.61474609375
34430,chr13,21604170,MICU2,ENSG00000165487.14,-,146.62107849121094
21339,chr7,113118554,SMIM30,ENSG00000214194.9,-,146.62576293945312
34445,chr13,24512778,PARP4,ENSG00000102699.6,-,146.63247680664062
43436,chr17,60526242,APPBP2,ENSG00000062725.10,-,146.6332550048828
36578,chr14,100376335,WARS1,ENSG00000140105.18,-,146.63446044921875
495,chr1,26317957,CD52,ENSG00000169442.9,+,146.6515655517578
201,chr1,11736083,AGTRAP,ENSG00000177674.16,+,146.66302490234375
21452,chr7,135170675,CYREN,ENSG00000122783.17,-,146.6646270751953
47404,chr19,19033517,SUGP2,ENSG00000064607.17,-,146.66839599609375
41230,chr17,36591878,DHRS11,ENSG00000278535.5,+,146.7327423095703
46829,chr19,2015714,BTBD2,ENSG00000133243.10,-,146.94277954101562
38309,chr15,101652391,TM2D3,ENSG00000184277.13,-,146.95355224609375
50503,chr22,24011314,CABIN1,ENSG00000099991.18,+,146.95399475097656
38439,chr16,1783006,NUBP2,ENSG00000095906.17,+,146.9984130859375
51810,chrX,48521805,ENSG00000286268,ENSG00000286268.1,+,147.0482940673828
51897,chrX,49922614,CLCN5,ENSG00000171365.17,+,147.06080627441406
17935,chr6,7389709,CAGE1,ENSG00000164304.16,-,147.0884552001953
37768,chr15,50355153,GABPB1,ENSG00000104064.18,-,147.1630859375
33796,chr12,117099416,TESC,ENSG00000088992.18,-,147.22816467285156
42362,chr17,4967790,SPAG7,ENSG00000091640.8,-,147.25836181640625
36884,chr15,43371100,TUBGCP4,ENSG00000137822.13,+,147.2723388671875
21648,chr7,158829509,ESYT2,ENSG00000117868.18,-,147.29318237304688
2233,chr1,180632031,XPR1,ENSG00000143324.14,+,147.38589477539062
47540,chr19,35745432,ENSG00000267120,ENSG00000267120.3,-,147.40914916992188
48480,chr20,1118597,PSMF1,ENSG00000125818.18,+,147.41726684570312
20151,chr7,128476753,METTL2B,ENSG00000165055.16,+,147.45523071289062
6136,chr2,148644750,EPC2,ENSG00000135999.12,+,147.51373291015625
28484,chr11,64230566,DNAJC4,ENSG00000110011.14,+,147.5487060546875
37637,chr15,40755254,RMDN3,ENSG00000137824.16,-,147.54916381835938
14326,chr5,57173947,GPBP1,ENSG00000062194.16,+,147.5603485107422
28820,chr11,73876996,PAAF1,ENSG00000175575.13,+,147.60763549804688
44497,chr18,35290232,ZSCAN30,ENSG00000186814.15,-,147.64166259765625
33602,chr12,98644788,IKBIP,ENSG00000166130.15,-,147.67396545410156
9212,chr3,45689356,SACM1L,ENSG00000211456.14,+,147.6765899658203
45738,chr19,35745677,ENSG00000188223,ENSG00000188223.9,+,147.70257568359375
52923,chrX,44542859,FUNDC1,ENSG00000069509.6,-,147.7894287109375
18900,chr6,132513116,STX7,ENSG00000079950.14,-,147.79263305664062
44587,chr18,49813953,ACAA2,ENSG00000167315.18,-,147.84747314453125
29364,chr11,126355659,ST3GAL4,ENSG00000110080.20,+,148.0146484375
37884,chr15,60397984,ANXA2,ENSG00000182718.18,-,148.0714111328125
51067,chr22,23974459,DDT,ENSG00000099977.16,-,148.07398986816406
32543,chr12,131929275,PUS1,ENSG00000177192.14,+,148.0881805419922
7138,chr2,20823110,LDAH,ENSG00000118961.15,-,148.11166381835938
44933,chr19,3572943,HMG20B,ENSG00000064961.19,+,148.1578826904297
22288,chr8,89902569,OSGIN2,ENSG00000164823.11,+,148.1711883544922
51650,chrX,21940714,SMS,ENSG00000102172.16,+,148.21826171875
11913,chr3,196503768,RNF168,ENSG00000163961.4,-,148.2814483642578
51014,chr22,20117245,TRMT2A,ENSG00000099899.16,-,148.305908203125
5337,chr2,27663888,SLC4A1AP,ENSG00000163798.14,+,148.37509155273438
31617,chr12,50112203,COX14,ENSG00000178449.9,+,148.4321746826172
32873,chr12,21501635,RECQL,ENSG00000004700.16,-,148.44842529296875
537,chr1,27322247,TMEM222,ENSG00000186501.15,+,148.5648651123047
7342,chr2,45611267,SRBD1,ENSG00000068784.13,-,148.58993530273438
5674,chr2,73828917,STAMBP,ENSG00000124356.17,+,148.7104034423828
15619,chr5,43483865,TMEM267,ENSG00000151881.15,-,148.71786499023438
421,chr1,23778417,PITHD1,ENSG00000057757.10,+,148.74327087402344
18112,chr6,30717281,MDC1,ENSG00000137337.16,-,148.74627685546875
17190,chr6,43477569,TJAP1,ENSG00000137221.14,+,148.7585906982422
36201,chr14,55027105,WDHD1,ENSG00000198554.12,-,148.76991271972656
40209,chr16,46621379,SHCBP1,ENSG00000171241.9,-,148.8997802734375
34294,chr13,100089014,PCCA,ENSG00000175198.17,+,148.96142578125
45764,chr19,36054929,WDR62,ENSG00000075702.19,+,148.9829559326172
48008,chr19,48811029,BCAT2,ENSG00000105552.15,-,149.03269958496094
13325,chr4,53366061,SCFD2,ENSG00000184178.17,-,149.10031127929688
9699,chr3,113747040,ATP6V1A,ENSG00000114573.12,+,149.10743713378906
17697,chr6,143677964,PHACTR2,ENSG00000112419.15,+,149.15652465820312
29949,chr11,45917877,PEX16,ENSG00000121680.16,-,149.18011474609375
50895,chr22,46335713,TRMU,ENSG00000100416.15,+,149.1994171142578
17328,chr6,70413507,FAM135A,ENSG00000082269.17,+,149.26319885253906
31710,chr12,53299749,MYG1,ENSG00000139637.14,+,149.32577514648438
41464,chr17,44345301,GRN,ENSG00000030582.19,+,149.48953247070312
11142,chr3,93973933,PROS1,ENSG00000184500.16,-,149.49110412597656
35379,chr14,72926463,DCAF4,ENSG00000119599.17,+,149.5419921875
36350,chr14,73027131,ZFYVE1,ENSG00000165861.14,-,149.5493927001953
25214,chr9,112175267,SUSD1,ENSG00000106868.17,-,149.56521606445312
11565,chr3,149752489,COMMD2,ENSG00000114744.9,-,149.5709686279297
42031,chr17,77319517,SEPTIN9,ENSG00000184640.20,+,149.5943603515625
38060,chr15,74696024,EDC3,ENSG00000179151.13,-,149.61962890625
28576,chr11,65576052,EHBP1L1,ENSG00000173442.13,+,149.66763305664062
8450,chr2,218270137,AAMP,ENSG00000127837.10,-,149.67422485351562
2517,chr1,211259387,RCOR3,ENSG00000117625.14,+,149.70579528808594
10165,chr3,169773395,MYNN,ENSG00000085274.16,+,149.7808380126953
45085,chr19,7920337,SNAPC2,ENSG00000104976.13,+,149.78823852539062
3200,chr1,25247454,RSRP1,ENSG00000117616.18,-,149.8021697998047
1736,chr1,153658702,SNAPIN,ENSG00000143553.11,+,149.91354370117188
7947,chr2,151289668,NMI,ENSG00000123609.11,-,149.95843505859375
2336,chr1,198156997,NEK7,ENSG00000151414.15,+,149.98941040039062
42350,chr17,4704129,PELP1,ENSG00000141456.16,-,149.99380493164062
33073,chr12,48682238,KANSL2,ENSG00000139620.13,-,149.99462890625
48988,chr20,45791953,DNTTIP1,ENSG00000101457.13,+,150.0258331298828
46222,chr19,47745545,NOP53,ENSG00000105373.19,+,150.0498809814453
14691,chr5,113513693,YTHDC2,ENSG00000047188.16,+,150.19630432128906
43412,chr17,59106826,TRIM37,ENSG00000108395.14,-,150.2270965576172
18223,chr6,33314078,TAPBP,ENSG00000231925.14,-,150.26040649414062
10959,chr3,52533857,NT5DC2,ENSG00000168268.11,-,150.27073669433594
17335,chr6,70667882,SMAP1,ENSG00000112305.15,+,150.3100128173828
50101,chr21,46458976,DIP2A,ENSG00000160305.18,+,150.32119750976562
4664,chr1,180502577,ACBD6,ENSG00000230124.8,-,150.33018493652344
25614,chr10,4963414,AKR1C1,ENSG00000187134.14,+,150.57083129882812
40444,chr16,70523550,COG4,ENSG00000103051.21,-,150.65484619140625
20513,chr7,2242205,MRM2,ENSG00000122687.19,-,150.69195556640625
20481,chr7,156949711,NOM1,ENSG00000146909.8,+,150.75535583496094
26593,chr10,125719702,EDRF1,ENSG00000107938.18,+,150.861572265625
32713,chr12,7936187,SLC2A3,ENSG00000059804.17,-,150.8875732421875
30261,chr11,64810581,MEN1,ENSG00000133895.19,-,150.8934326171875
46831,chr19,2051244,MKNK2,ENSG00000099875.16,-,150.90838623046875
53343,chrX,107206433,NUP62CL,ENSG00000198088.10,-,150.97702026367188
32316,chr12,111842012,MAPKAPK5,ENSG00000089022.15,+,150.98109436035156
14537,chr5,77030403,AGGF1,ENSG00000164252.13,+,150.98402404785156
9148,chr3,42590859,SS18L2,ENSG00000008324.12,+,150.99227905273438
13185,chr4,13627725,BOD1L1,ENSG00000038219.13,-,151.04893493652344
47430,chr19,19663676,ATP13A1,ENSG00000105726.17,-,151.0592041015625
5387,chr2,32063969,SPAST,ENSG00000021574.14,+,151.06129455566406
4793,chr1,202967257,CYB5R1,ENSG00000159348.13,-,151.06396484375
32118,chr12,95217806,VEZT,ENSG00000028203.19,+,151.08935546875
5022,chr1,231422287,EGLN1,ENSG00000135766.9,-,151.16043090820312
47576,chr19,36573288,ZNF529,ENSG00000186020.13,-,151.20159912109375
20473,chr7,155644701,RBM33,ENSG00000184863.11,+,151.20343017578125
13736,chr4,109729974,PLA2G12A,ENSG00000123739.11,-,151.26556396484375
136,chr1,7961710,PARK7,ENSG00000116288.13,+,151.31935119628906
30700,chr11,95924096,MTMR2,ENSG00000087053.20,-,151.33941650390625
36504,chr14,93184897,MOAP1,ENSG00000165943.5,-,151.37115478515625
42922,chr17,39451263,MED1,ENSG00000125686.12,-,151.3795166015625
2399,chr1,203795670,ZC3H11A,ENSG00000058673.17,+,151.38668823242188
12750,chr4,127880892,PLK4,ENSG00000142731.11,+,151.4176025390625
10640,chr3,39051941,SCN11A,ENSG00000168356.13,-,151.4839630126953
42927,chr17,39730532,MIEN1,ENSG00000141741.12,-,151.49478149414062
32084,chr12,82358528,METTL25,ENSG00000127720.8,+,151.50051879882812
21554,chr7,148884287,EZH2,ENSG00000106462.12,-,151.50411987304688
28993,chr11,94973708,KDM4D,ENSG00000186280.7,+,151.62481689453125
49821,chr21,15729981,USP25,ENSG00000155313.16,+,151.6385955810547
20964,chr7,77798434,TMEM60,ENSG00000135211.6,-,151.64161682128906
8698,chr2,241686815,DTYMK,ENSG00000168393.13,-,151.6558074951172
34456,chr13,27171811,USP12,ENSG00000152484.14,-,151.66241455078125
21247,chr7,102973324,FBXL13,ENSG00000161040.19,-,151.6640625
23909,chr9,75088513,OSTF1,ENSG00000134996.12,+,151.70254516601562
38044,chr15,73994622,STOML1,ENSG00000067221.14,-,151.71603393554688
37890,chr15,60479073,ICE2,ENSG00000128915.12,-,151.7325439453125
9303,chr3,49470276,DAG1,ENSG00000173402.13,+,151.76629638671875
44694,chr18,63422390,VPS4B,ENSG00000119541.10,-,151.77853393554688
8462,chr2,218672002,RNF25,ENSG00000163481.8,-,151.86888122558594
34558,chr13,40771190,MRPS31,ENSG00000102738.8,-,151.90963745117188
29976,chr11,47248802,ACP2,ENSG00000134575.13,-,151.93722534179688
8940,chr3,16265211,OXNAD1,ENSG00000154814.14,+,152.01348876953125
30843,chr11,113773692,ZW10,ENSG00000086827.9,-,152.01370239257812
7852,chr2,127294144,ERCC3,ENSG00000163161.14,-,152.1020965576172
40677,chr17,1762059,SERPINF1,ENSG00000132386.11,+,152.10275268554688
19649,chr7,74174355,EIF4H,ENSG00000106682.16,+,152.10366821289062
19871,chr7,99558694,ENSG00000272647,ENSG00000272647.3,+,152.12213134765625
6193,chr2,161160436,TANK,ENSG00000136560.14,+,152.20346069335938
11520,chr3,142578723,ATR,ENSG00000175054.16,-,152.2262420654297
28685,chr11,67428493,RPS6KB2,ENSG00000175634.15,+,152.22911071777344
49284,chr20,1393096,ENSG00000274322,ENSG00000274322.1,-,152.28504943847656
52971,chrX,48919024,PIM2,ENSG00000102096.10,-,152.33543395996094
13328,chr4,54064605,CHIC2,ENSG00000109220.11,-,152.3987274169922
46211,chr19,47256522,CCDC9,ENSG00000105321.14,+,152.40818786621094
30263,chr11,64878621,EHD1,ENSG00000110047.18,-,152.4735870361328
22125,chr8,55879834,LYN,ENSG00000254087.8,+,152.48910522460938
34728,chr13,96053393,UGGT2,ENSG00000102595.22,-,152.51690673828125
27984,chr11,31369859,DNAJC24,ENSG00000170946.15,+,152.51885986328125
7055,chr2,3377818,EIPR1,ENSG00000032389.13,-,152.61322021484375
42884,chr17,37609411,SYNRG,ENSG00000275066.5,-,152.6160430908203
18975,chr6,139374648,CITED2,ENSG00000164442.11,-,152.61949157714844
46809,chr19,1592801,MBD3,ENSG00000071655.18,-,152.6444091796875
4971,chr1,226309164,LIN9,ENSG00000183814.16,-,152.648193359375
42547,chr17,8630761,MYH10,ENSG00000133026.14,-,152.8658447265625
49358,chr20,5611006,GPCPD1,ENSG00000125772.14,-,152.92291259765625
11713,chr3,170181749,PHC3,ENSG00000173889.16,-,152.94810485839844
53009,chrX,49079867,WDR45,ENSG00000196998.19,-,152.95339965820312
20547,chr7,6009097,PMS2,ENSG00000122512.17,-,152.9654083251953
49426,chr20,24992751,APMAP,ENSG00000101474.12,-,153.0118865966797
52170,chrX,101408221,HNRNPH2,ENSG00000126945.9,+,153.09963989257812
14257,chr5,41904343,RIMOC1,ENSG00000205765.10,+,153.1134796142578
23274,chr8,98825671,STK3,ENSG00000104375.17,-,153.17349243164062
6260,chr2,169827453,UBR3,ENSG00000144357.18,+,153.2183380126953
41379,chr17,42458903,ATP6V0A1,ENSG00000033627.18,+,153.27044677734375
20831,chr7,47979553,HUS1,ENSG00000136273.13,-,153.27322387695312
40599,chr16,87765992,KLHDC4,ENSG00000104731.14,-,153.29837036132812
1465,chr1,111755929,DDX20,ENSG00000064703.13,+,153.35997009277344
28974,chr11,93784281,MED17,ENSG00000042429.12,+,153.42601013183594
14700,chr5,116085024,COMMD10,ENSG00000145781.9,+,153.43380737304688
10406,chr3,3179727,CRBN,ENSG00000113851.16,-,153.4364013671875
33292,chr12,55927875,PYM1,ENSG00000170473.17,-,153.43994140625
40186,chr16,31094956,ENSG00000255439,ENSG00000255439.6,-,153.469970703125
6549,chr2,203328394,ABI2,ENSG00000138443.17,+,153.50668334960938
18534,chr6,69796906,LMBRD1,ENSG00000168216.13,-,153.6044158935547
44006,chr18,12991361,CEP192,ENSG00000101639.19,+,153.6653594970703
21950,chr8,31033809,WRN,ENSG00000165392.11,+,153.7247772216797
33615,chr12,100142847,BLTP3B,ENSG00000111647.13,-,153.72720336914062
22582,chr8,144078641,ENSG00000290230,ENSG00000290230.1,+,153.7327117919922
12351,chr4,55853674,EXOC1,ENSG00000090989.18,+,153.9464111328125
36063,chr14,31457407,ENSG00000203546,ENSG00000203546.7,-,154.088134765625
36064,chr14,31457506,DTD2,ENSG00000129480.14,-,154.08921813964844
11192,chr3,108589438,CIP2A,ENSG00000163507.15,-,154.13278198242188
12043,chr4,2843856,ADD1,ENSG00000087274.19,+,154.29945373535156
23054,chr8,60281400,CA8,ENSG00000178538.10,-,154.33309936523438
7273,chr2,38602929,HNRNPLL,ENSG00000143889.16,-,154.38967895507812
15727,chr5,71067650,GTF2H2,ENSG00000145736.15,-,154.39382934570312
30150,chr11,62546806,AHNAK,ENSG00000124942.14,-,154.51748657226562
48511,chr20,2873488,PTPRA,ENSG00000132670.21,+,154.56048583984375
17901,chr6,2971661,SERPINB6,ENSG00000124570.21,-,154.63287353515625
6813,chr2,231056893,PSMD1,ENSG00000173692.14,+,154.67449951171875
44366,chr18,712615,ENOSF1,ENSG00000132199.20,-,154.7269287109375
5312,chr2,27217407,CAD,ENSG00000084774.14,+,154.75146484375
4817,chr1,205121978,RBBP5,ENSG00000117222.14,-,154.75540161132812
25446,chr9,132354986,SETX,ENSG00000107290.14,-,154.757568359375
24703,chr9,19049358,SAXO1,ENSG00000155875.15,-,154.76197814941406
5441,chr2,42169352,EML4,ENSG00000143924.19,+,154.87347412109375
22285,chr8,89757815,RIPK2,ENSG00000104312.8,+,154.88925170898438
27444,chr10,117005187,SHTN1,ENSG00000187164.20,-,154.91098022460938
21655,chr8,232199,ZNF596,ENSG00000172748.14,+,154.9412384033203
37752,chr15,49046433,SECISBP2L,ENSG00000138593.9,-,154.98219299316406
39790,chr16,2340728,ABCA3,ENSG00000167972.14,-,155.0775604248047
52430,chrX,135973840,SLC9A6,ENSG00000198689.13,+,155.08303833007812
23998,chr9,89318499,SECISBP2,ENSG00000187742.15,+,155.20782470703125
28831,chr11,74592604,POLD3,ENSG00000077514.9,+,155.20944213867188
40609,chr16,88663091,MVD,ENSG00000167508.12,-,155.2432403564453
27259,chr10,97401283,RRP12,ENSG00000052749.14,-,155.3201446533203
41119,chr17,28744010,TRAF4,ENSG00000076604.16,+,155.3448028564453
31320,chr12,12717367,CDKN1B,ENSG00000111276.12,+,155.3458709716797
35566,chr14,88824655,TTC8,ENSG00000165533.19,+,155.37796020507812
47304,chr19,15432761,WIZ,ENSG00000011451.21,-,155.37831115722656
499,chr1,26432328,DHDDS,ENSG00000117682.18,+,155.41331481933594
9973,chr3,138187516,ARMC8,ENSG00000114098.18,+,155.4545440673828
50230,chr21,34888690,RUNX1,ENSG00000159216.19,-,155.4825897216797
20446,chr7,151341771,NUB1,ENSG00000013374.17,+,155.5588836669922
36793,chr15,40695128,RAD51,ENSG00000051180.17,+,155.62770080566406
8916,chr3,14947582,NR2C2,ENSG00000177463.16,+,155.65814208984375
49950,chr21,38805928,ETS2,ENSG00000157557.13,+,155.67681884765625
42358,chr17,4940046,SLC25A11,ENSG00000108528.14,-,155.71438598632812
8185,chr2,178451175,PRKRA,ENSG00000180228.14,-,155.75320434570312
31454,chr12,28190445,CCDC91,ENSG00000123106.11,+,155.85923767089844
5432,chr2,38876010,MORN2,ENSG00000188010.16,+,155.99636840820312
19314,chr7,23105784,KLHL7,ENSG00000122550.18,+,156.1834716796875
31189,chr12,6724078,COPS7A,ENSG00000111652.10,+,156.3147430419922
4374,chr1,155934399,KHDC4,ENSG00000132680.11,-,156.35745239257812
37066,chr15,63048438,TPM1,ENSG00000140416.25,+,156.3722686767578
7769,chr2,101308701,RNF149,ENSG00000163162.9,-,156.38375854492188
11812,chr3,184712064,MAGEF1,ENSG00000177383.5,-,156.44296264648438
29875,chr11,33161491,CSTF3,ENSG00000176102.13,-,156.47254943847656
14011,chr4,169010254,CBR4,ENSG00000145439.12,-,156.4757080078125
11337,chr3,123961229,CCDC14,ENSG00000175455.16,-,156.51783752441406
49600,chr20,45348424,SDC4,ENSG00000124145.6,-,156.5246124267578
3571,chr1,47314147,STIL,ENSG00000123473.17,-,156.55690002441406
19799,chr7,93232365,VPS50,ENSG00000004766.17,+,156.56219482421875
41778,chr17,62423890,METTL2A,ENSG00000087995.16,+,156.59658813476562
17104,chr6,37819726,ZFAND3,ENSG00000156639.12,+,156.61825561523438
19610,chr7,66996832,TYW1,ENSG00000198874.14,+,156.63363647460938
28740,chr11,71453202,NADSYN1,ENSG00000172890.13,+,156.68026733398438
6952,chr2,238320517,TRAF3IP1,ENSG00000204104.12,+,156.77590942382812
36245,chr14,60981079,TRMT5,ENSG00000126814.7,-,156.82144165039062
35790,chr14,103928455,TDRD9,ENSG00000156414.20,+,156.93209838867188
53518,chrX,135052135,RTL8A,ENSG00000203950.7,-,156.9947967529297
17392,chr6,83859688,CYB5R4,ENSG00000065615.14,+,157.01805114746094
18457,chr6,49463253,MMUT,ENSG00000146085.8,-,157.03326416015625
22127,chr8,56211755,CHCHD7,ENSG00000170791.18,+,157.14625549316406
6581,chr2,207529891,CREB1,ENSG00000118260.15,+,157.20774841308594
36927,chr15,45023194,SORD,ENSG00000140263.15,+,157.22146606445312
4626,chr1,171742074,VAMP4,ENSG00000117533.15,-,157.2303466796875
5999,chr2,113437762,ZNG1B,ENSG00000136682.16,+,157.32122802734375
18316,chr6,37499893,CCDC167,ENSG00000198937.9,-,157.37123107910156
27295,chr10,100186033,ERLIN1,ENSG00000107566.14,-,157.4320068359375
902,chr1,45500340,MMACHC,ENSG00000132763.15,+,157.4364776611328
9340,chr3,50350844,CYB561D2,ENSG00000114395.11,+,157.51202392578125
4717,chr1,193105414,GLRX2,ENSG00000023572.10,-,157.56240844726562
45566,chr19,29811990,CCNE1,ENSG00000105173.14,+,157.56890869140625
3208,chr1,25859458,AUNIP,ENSG00000127423.11,-,157.74488830566406
3751,chr1,77683419,ZZZ3,ENSG00000036549.13,-,157.75660705566406
47112,chr19,10928681,YIPF2,ENSG00000130733.11,-,157.80422973632812
47115,chr19,11155782,SPC24,ENSG00000161888.12,-,157.82960510253906
50108,chr21,46635673,PRMT2,ENSG00000160310.19,+,157.83663940429688
36422,chr14,77457561,VIPAS39,ENSG00000151445.16,-,157.8395538330078
8921,chr3,15427597,EAF1,ENSG00000144597.14,+,157.8582763671875
20512,chr7,2242215,ENSG00000286192,ENSG00000286192.1,-,157.87725830078125
42905,chr17,38825321,CWC25,ENSG00000273559.5,-,157.90048217773438
36334,chr14,70359683,COX16,ENSG00000133983.16,-,158.04571533203125
8521,chr2,222656092,FARSB,ENSG00000116120.11,-,158.10302734375
15071,chr5,148383957,FBXO38,ENSG00000145868.17,+,158.11300659179688
27253,chr10,97292637,ARHGAP19-SLIT1,ENSG00000269891.2,-,158.18780517578125
27255,chr10,97292637,ARHGAP19,ENSG00000213390.11,-,158.18780517578125
