,Chromosome,Start,gene_name,gene_id,Strand,GM12878
51619,chrX,17737492,SCML1,ENSG00000047634.15,+,205.5961151123047
37920,chr15,64356132,CSNK1G1,ENSG00000169118.18,-,205.66795349121094
29804,chr11,18588706,UEVLD,ENSG00000151116.17,-,205.68389892578125
49076,chr20,57391427,RBM38,ENSG00000132819.17,+,205.6851806640625
6800,chr2,230864941,ITM2C,ENSG00000135916.16,+,205.7174835205078
48545,chr20,4686458,PRNP,ENSG00000171867.18,+,205.78936767578125
18011,chr6,24936052,RIPOR2,ENSG00000111913.20,-,205.84120178222656
302,chr1,15847706,SPEN,ENSG00000065526.13,+,205.8534698486328
31898,chr12,57522823,MBD6,ENSG00000166987.15,+,205.8549346923828
14365,chr5,65625026,TRAPPC13,ENSG00000113597.18,+,205.9309844970703
6260,chr2,169827453,UBR3,ENSG00000144357.18,+,205.95867919921875
50996,chr22,19479172,UFD1,ENSG00000070010.19,-,205.97328186035156
25262,chr9,116687215,ASTN2,ENSG00000148219.18,-,206.03225708007812
29435,chr11,615970,IRF7,ENSG00000185507.21,-,206.03387451171875
13513,chr4,83455823,HELQ,ENSG00000163312.11,-,206.06300354003906
18850,chr6,125301937,HDDC2,ENSG00000111906.18,-,206.0716094970703
13304,chr4,47914583,NFXL1,ENSG00000170448.12,-,206.079345703125
34962,chr14,24147547,ENSG00000259529,ENSG00000259529.2,+,206.1019287109375
45882,chr19,38930943,MRPS12,ENSG00000128626.12,+,206.11138916015625
34046,chr13,30617936,USPL1,ENSG00000132952.12,+,206.11602783203125
33931,chr12,130839250,STX2,ENSG00000111450.15,-,206.25213623046875
17200,chr6,43635839,MAD2L1BP,ENSG00000124688.14,+,206.33285522460938
13259,chr4,39638893,SMIM14,ENSG00000163683.12,-,206.44338989257812
49620,chr20,45891208,NEURL2,ENSG00000124257.7,-,206.50723266601562
49439,chr20,25624014,NANP,ENSG00000170191.5,-,206.55072021484375
53774,chrY,21534878,RBMY1A1,ENSG00000234414.8,+,206.57130432128906
50387,chr22,19432544,MRPL40,ENSG00000185608.9,+,206.6245880126953
13946,chr4,152679997,TMEM154,ENSG00000170006.13,-,206.67771911621094
2398,chr1,203795622,ZBED6,ENSG00000257315.4,+,206.7392120361328
13758,chr4,113761738,CAMK2D,ENSG00000145349.20,-,206.79891967773438
50776,chr22,39502289,MIEF1,ENSG00000100335.15,+,206.87124633789062
5144,chr1,248859085,ZNF692,ENSG00000171163.16,-,206.89263916015625
49479,chr20,34677085,PIGU,ENSG00000101464.11,-,206.913818359375
19070,chr6,158644743,DYNLT1,ENSG00000146425.11,-,206.99185180664062
23560,chr8,143609575,PYCR3,ENSG00000104524.14,-,207.03939819335938
26701,chr10,5977543,IL15RA,ENSG00000134470.21,-,207.03958129882812
13248,chr4,39032409,TMEM156,ENSG00000121895.8,-,207.04661560058594
41824,chr17,63774169,DDX42,ENSG00000198231.14,+,207.04913330078125
4961,chr1,225882380,TMEM63A,ENSG00000196187.12,-,207.10601806640625
23808,chr9,35658316,CCDC107,ENSG00000159884.12,+,207.16111755371094
902,chr1,45500340,MMACHC,ENSG00000132763.15,+,207.2431640625
50340,chr21,46184459,SPATC1L,ENSG00000160284.15,-,207.24798583984375
41888,chr17,72121019,SOX9,ENSG00000125398.8,+,207.26792907714844
14915,chr5,140664903,WDR55,ENSG00000120314.19,+,207.38308715820312
25759,chr10,26438340,APBB1IP,ENSG00000077420.16,+,207.3877410888672
12796,chr4,140524167,ELMOD2,ENSG00000179387.10,+,207.3965606689453
38702,chr16,10944563,CLEC16A,ENSG00000038532.17,+,207.50274658203125
32240,chr12,106955843,TMEM263,ENSG00000151135.10,+,207.5591278076172
11311,chr3,123585053,HACD2,ENSG00000206527.10,-,207.6109619140625
41687,chr17,55751050,PCTP,ENSG00000141179.14,+,207.78475952148438
5312,chr2,27217407,CAD,ENSG00000084774.14,+,207.78677368164062
13165,chr4,8440723,ACOX3,ENSG00000087008.16,-,207.7876434326172
50913,chr22,49960771,PIM3,ENSG00000198355.5,+,207.8504638671875
41137,chr17,30378926,CPD,ENSG00000108582.12,+,207.9017333984375
737,chr1,39955144,MFSD2A,ENSG00000168389.18,+,207.9173583984375
45298,chr19,14433305,PKN1,ENSG00000123143.13,+,207.91769409179688
5003,chr1,229558707,ABCB10,ENSG00000135776.5,-,207.9631805419922
25056,chr9,91361918,AUH,ENSG00000148090.12,-,208.00282287597656
53640,chrX,153926254,ARHGAP4,ENSG00000089820.17,-,208.0530242919922
36476,chr14,91510310,PPP4R3A,ENSG00000100796.18,-,208.06268310546875
53773,chrY,21511337,RBMY1B,ENSG00000242875.7,+,208.14112854003906
24733,chr9,21335404,KLHL9,ENSG00000198642.7,-,208.1575164794922
17597,chr6,125956769,HINT3,ENSG00000111911.7,+,208.23731994628906
37243,chr15,74890061,MPI,ENSG00000178802.18,+,208.34225463867188
36980,chr15,49621047,DTWD1,ENSG00000104047.15,+,208.36863708496094
19305,chr7,21428082,SP4,ENSG00000105866.15,+,208.39791870117188
33747,chr12,111599315,ATXN2,ENSG00000204842.18,-,208.42799377441406
17299,chr6,57046692,KIAA1586,ENSG00000168116.14,+,208.51388549804688
51092,chr22,26590132,TPST2,ENSG00000128294.16,-,208.51634216308594
13123,chr4,3532422,LRPAP1,ENSG00000163956.13,-,208.58079528808594
15624,chr5,43557077,PAIP1,ENSG00000172239.14,-,208.58102416992188
22515,chr8,141128588,DENND3,ENSG00000105339.11,+,208.63943481445312
45547,chr19,22634323,ZNF492,ENSG00000229676.3,+,208.6475830078125
4627,chr1,172444069,PIGC,ENSG00000135845.10,-,208.7579345703125
7831,chr2,113756620,SLC35F5,ENSG00000115084.15,-,208.80674743652344
36152,chr14,50532569,MAP4K5,ENSG00000012983.12,-,208.83685302734375
1448,chr1,111229819,CHI3L2,ENSG00000064886.14,+,208.8984832763672
51122,chr22,29838304,ASCC2,ENSG00000100325.15,-,208.90475463867188
33849,chr12,121296710,CAMKK2,ENSG00000110931.19,-,208.9246826171875
30848,chr11,113875528,USP28,ENSG00000048028.12,-,208.93148803710938
18248,chr6,33789130,LEMD2,ENSG00000161904.13,-,208.9384765625
9303,chr3,49470276,DAG1,ENSG00000173402.13,+,208.93992614746094
53653,chrX,154019902,IRAK1,ENSG00000184216.15,-,208.94134521484375
291,chr1,15617457,DDI2,ENSG00000197312.13,+,208.96224975585938
40789,chr17,6756045,XAF1,ENSG00000132530.17,+,208.98519897460938
45384,chr19,17420046,MVB12A,ENSG00000141971.14,+,209.02850341796875
42172,chr17,82229041,SLC16A3,ENSG00000141526.18,+,209.1181640625
8753,chr3,9397826,SETD5,ENSG00000168137.20,+,209.1219482421875
17815,chr6,159727505,WTAP,ENSG00000146457.16,+,209.14292907714844
17921,chr6,5260733,LYRM4,ENSG00000214113.11,-,209.20057678222656
27602,chr11,450278,PTDSS2,ENSG00000174915.12,+,209.40200805664062
22736,chr8,11868087,CTSB,ENSG00000164733.23,-,209.41123962402344
21434,chr7,130668705,COPG2,ENSG00000158623.14,-,209.4171600341797
46212,chr19,47256524,CCDC9,ENSG00000105321.14,+,209.4449920654297
43730,chr17,76726606,JMJD6,ENSG00000070495.15,-,209.4478759765625
43273,chr17,48430219,SKAP1,ENSG00000141293.16,-,209.45254516601562
51058,chr22,23754409,VPREB3,ENSG00000128218.8,-,209.48626708984375
45566,chr19,29811990,CCNE1,ENSG00000105173.14,+,209.5200653076172
35120,chr14,39267145,MIA2,ENSG00000150527.18,+,209.6228485107422
50139,chr21,29019349,RWDD2B,ENSG00000156253.7,-,209.72412109375
6952,chr2,238320517,TRAF3IP1,ENSG00000204104.12,+,209.75155639648438
33439,chr12,68332332,MDM1,ENSG00000111554.15,-,209.81646728515625
17204,chr6,43770212,VEGFA,ENSG00000112715.26,+,209.8221435546875
21629,chr7,152676141,XRCC2,ENSG00000196584.4,-,209.8260498046875
37862,chr15,56918571,ENSG00000285253,ENSG00000285253.1,-,209.8422393798828
50212,chr21,33641747,CRYZL1,ENSG00000205758.12,-,209.88198852539062
8244,chr2,191014171,STAT1,ENSG00000115415.21,-,209.95143127441406
37091,chr15,64387835,TRIP4,ENSG00000103671.10,+,209.96255493164062
52174,chrX,101623150,ARMCX3,ENSG00000102401.20,+,209.9986572265625
13340,chr4,56387500,AASDH,ENSG00000157426.14,-,210.001220703125
4202,chr1,151327416,PI4KB,ENSG00000143393.17,-,210.00967407226562
2676,chr1,229271110,RAB4A,ENSG00000168118.12,+,210.03611755371094
17306,chr6,57172325,BAG2,ENSG00000112208.11,+,210.22283935546875
35603,chr14,93184950,LYSET,ENSG00000153485.6,+,210.22659301757812
38257,chr15,90932549,HDDC3,ENSG00000184508.12,-,210.3770294189453
12558,chr4,88523809,HERC3,ENSG00000287542.1,+,210.37759399414062
48737,chr20,32109735,TM9SF4,ENSG00000101337.16,+,210.38601684570312
21428,chr7,130441029,CEP41,ENSG00000106477.20,-,210.52587890625
52672,chrX,155071498,BRCC3,ENSG00000185515.16,+,210.551025390625
17744,chr6,150599884,PLEKHG1,ENSG00000120278.17,+,210.580078125
51811,chrX,48539713,TBC1D25,ENSG00000068354.16,+,210.60150146484375
4971,chr1,226309164,LIN9,ENSG00000183814.16,-,210.69171142578125
6445,chr2,196639714,CCDC150,ENSG00000144395.18,+,210.71585083007812
37373,chr15,84748591,ZNF592,ENSG00000166716.10,+,210.75343322753906
12676,chr4,112297369,ALPK1,ENSG00000073331.18,+,210.8020477294922
35348,chr14,69398691,SLC39A9,ENSG00000029364.12,+,210.880126953125
3574,chr1,47314147,STIL,ENSG00000123473.17,-,210.90687561035156
46264,chr19,48872420,PPP1R15A,ENSG00000087074.9,+,210.99154663085938
50755,chr22,38982398,APOBEC3B,ENSG00000179750.16,+,210.99795532226562
46918,chr19,4540036,LRG1,ENSG00000171236.10,-,211.07513427734375
26170,chr10,87504892,MINPP1,ENSG00000107789.16,+,211.10452270507812
23597,chr8,144358472,FBXL6,ENSG00000182325.11,-,211.17481994628906
30345,chr11,66546048,ZDHHC24,ENSG00000174165.8,-,211.22503662109375
17561,chr6,122471930,PKIB,ENSG00000135549.16,+,211.26791381835938
8100,chr2,171894244,SLC25A12,ENSG00000115840.14,-,211.28497314453125
21950,chr8,31033809,WRN,ENSG00000165392.11,+,211.28952026367188
45274,chr19,13150410,IER2,ENSG00000160888.7,+,211.29913330078125
14772,chr5,129094748,ISOC1,ENSG00000066583.12,+,211.36598205566406
43095,chr17,42798704,COA3,ENSG00000183978.8,-,211.37738037109375
36881,chr15,43330673,ADAL,ENSG00000168803.16,+,211.41249084472656
45175,chr19,10701438,QTRT1,ENSG00000213339.9,+,211.53651428222656
43436,chr17,60526242,APPBP2,ENSG00000062725.10,-,211.5843505859375
37230,chr15,74541219,ARID3B,ENSG00000179361.18,+,211.59564208984375
12832,chr4,147617385,TMEM184C,ENSG00000164168.8,+,211.60269165039062
13851,chr4,139084325,ELF2,ENSG00000109381.21,-,211.62327575683594
21273,chr7,105522258,PUS7,ENSG00000091127.14,-,211.69644165039062
25849,chr10,45374215,ALOX5,ENSG00000012779.12,+,211.72608947753906
5974,chr2,112584594,CHCHD5,ENSG00000125611.16,+,211.8895263671875
7648,chr2,85612032,C2orf68,ENSG00000168887.11,-,211.90054321289062
21986,chr8,38105492,ASH2L,ENSG00000129691.16,+,211.97512817382812
28999,chr11,95089845,ENDOD1,ENSG00000149218.5,+,212.03614807128906
35142,chr14,49693119,KLHDC1,ENSG00000197776.8,+,212.0638427734375
10392,chr3,197791263,LRCH3,ENSG00000186001.14,+,212.0984344482422
6458,chr2,197705368,MARS2,ENSG00000247626.5,+,212.10549926757812
1404,chr1,109656121,GSTM4,ENSG00000168765.19,+,212.13262939453125
37642,chr15,40874234,RHOV,ENSG00000104140.7,-,212.1529998779297
9742,chr3,120742743,GTF2E1,ENSG00000153767.10,+,212.20428466796875
26764,chr10,14954076,DCLRE1C,ENSG00000152457.19,-,212.32032775878906
42475,chr17,7394525,PLSCR3,ENSG00000187838.17,-,212.52560424804688
35021,chr14,24429953,KHNYN,ENSG00000100441.10,+,212.5380096435547
10989,chr3,53347543,DCP1A,ENSG00000272886.6,-,212.60987854003906
7638,chr2,85561493,GGCX,ENSG00000115486.13,-,212.63339233398438
19250,chr7,7566883,MIOS,ENSG00000164654.16,+,212.65524291992188
42805,chr17,32877124,MYO1D,ENSG00000176658.17,-,212.65724182128906
39768,chr16,2047866,NTHL1,ENSG00000065057.9,-,212.73092651367188
33156,chr12,51324115,BIN2,ENSG00000110934.13,-,212.7469940185547
36182,chr14,53153204,DDHD1,ENSG00000100523.17,-,212.87445068359375
7477,chr2,65432599,SPRED2,ENSG00000198369.10,-,212.9098663330078
21992,chr8,38231584,DDHD2,ENSG00000085788.14,+,212.93472290039062
4265,chr1,153545806,S100A4,ENSG00000196154.12,-,212.9391632080078
11525,chr3,143848468,SLC9A9,ENSG00000181804.15,-,213.10015869140625
50633,chr22,31160181,RNF185,ENSG00000138942.17,+,213.17755126953125
45569,chr19,29942238,URI1,ENSG00000105176.18,+,213.22128295898438
39757,chr16,1943199,MSRB1,ENSG00000198736.13,-,213.23776245117188
9731,chr3,119597884,PLA1A,ENSG00000144837.9,+,213.37313842773438
23018,chr8,54022448,TCEA1,ENSG00000187735.16,-,213.54083251953125
28838,chr11,74988924,NEU3,ENSG00000162139.10,+,213.583740234375
20481,chr7,156949711,NOM1,ENSG00000146909.8,+,213.6114501953125
40493,chr16,74985123,WDR59,ENSG00000103091.15,-,213.6537322998047
5812,chr2,95402722,FAHD2A,ENSG00000115042.10,+,213.72354125976562
15036,chr5,142108778,NDFIP1,ENSG00000131507.11,+,213.73361206054688
23710,chr9,6757972,KDM4C,ENSG00000107077.19,+,213.75071716308594
52848,chrX,24025317,KLHL15,ENSG00000174010.10,-,213.81253051757812
7251,chr2,37157047,EIF2AK2,ENSG00000055332.19,-,213.81756591796875
6992,chr2,241315882,SEPTIN2,ENSG00000168385.18,+,213.84930419921875
2722,chr1,236142538,GPR137B,ENSG00000077585.14,+,213.8868408203125
7128,chr2,20350844,PUM2,ENSG00000055917.17,-,213.90785217285156
2129,chr1,170532165,GORAB,ENSG00000120370.14,+,213.915283203125
28159,chr11,47980579,PTPRJ,ENSG00000149177.15,+,213.95733642578125
39016,chr16,30650959,PRR14,ENSG00000156858.12,+,214.05502319335938
53336,chrX,107000212,MORC4,ENSG00000133131.15,-,214.09408569335938
25381,chr9,128127729,PTGES2,ENSG00000148334.16,-,214.27218627929688
34196,chr13,52012410,ALG11,ENSG00000253710.5,+,214.27403259277344
16037,chr5,132777220,SEPTIN8,ENSG00000164402.14,-,214.3295440673828
17101,chr6,37353982,RNF8,ENSG00000112130.17,+,214.36781311035156
6363,chr2,180980604,UBE2E3,ENSG00000170035.16,+,214.39663696289062
25129,chr9,98119198,TRIM14,ENSG00000106785.15,-,214.40289306640625
51707,chrX,37780058,CYBB,ENSG00000165168.9,+,214.432373046875
27450,chr10,117375440,PDZD8,ENSG00000165650.12,-,214.52096557617188
40571,chr16,84187011,TAF1C,ENSG00000103168.17,-,214.53756713867188
35492,chr14,76151934,GPATCH2L,ENSG00000089916.18,+,214.56251525878906
34946,chr14,24094310,PCK2,ENSG00000100889.12,+,214.5814666748047
23848,chr9,37800796,DCAF10,ENSG00000122741.16,+,214.58624267578125
36072,chr14,34630109,SNX6,ENSG00000129515.20,-,214.6817169189453
41077,chr17,21284710,MAP2K3,ENSG00000034152.20,+,214.87115478515625
10867,chr3,49786540,IP6K1,ENSG00000176095.12,-,214.8731231689453
1793,chr1,155051285,ADAM15,ENSG00000143537.14,+,214.88211059570312
35566,chr14,88824655,TTC8,ENSG00000165533.19,+,214.9581298828125
28560,chr11,65386620,FRMD8,ENSG00000126391.14,+,215.0430908203125
21023,chr7,91880702,MTERF1,ENSG00000127989.14,-,215.04766845703125
8458,chr2,218568291,USP37,ENSG00000135913.11,-,215.18826293945312
5999,chr2,113437762,ZNG1B,ENSG00000136682.16,+,215.26695251464844
6384,chr2,183124442,NUP35,ENSG00000163002.13,+,215.28330993652344
5107,chr1,247104356,ZNF669,ENSG00000188295.15,-,215.29519653320312
39001,chr16,30193903,SLX1A,ENSG00000132207.18,+,215.35525512695312
40112,chr16,29863205,CDIPT,ENSG00000103502.14,-,215.36512756347656
40361,chr16,67247481,FHOD1,ENSG00000135723.14,-,215.38430786132812
14393,chr5,68215755,PIK3R1,ENSG00000145675.16,+,215.45941162109375
24703,chr9,19049358,SAXO1,ENSG00000155875.15,-,215.48289489746094
30456,chr11,72112695,ANAPC15,ENSG00000110200.9,-,215.5177459716797
14032,chr4,174283667,FBXO8,ENSG00000164117.14,-,215.5534210205078
20498,chr7,975549,COX19,ENSG00000240230.6,-,215.6030731201172
39190,chr16,57186328,RSPRY1,ENSG00000159579.14,+,215.60853576660156
13712,chr4,106316209,TBCK,ENSG00000145348.17,-,215.62225341796875
3551,chr1,46604255,MKNK1,ENSG00000079277.22,-,215.66360473632812
15629,chr5,50441350,EMB,ENSG00000170571.12,-,215.71286010742188
17380,chr6,80106670,BCKDHB,ENSG00000083123.15,+,215.7453155517578
44077,chr18,26226485,TAF4B,ENSG00000141384.13,+,215.8184814453125
42362,chr17,4967790,SPAG7,ENSG00000091640.8,-,215.8249053955078
11916,chr3,196568581,WDR53,ENSG00000185798.8,-,215.9080810546875
49064,chr20,56468626,RTF2,ENSG00000022277.13,+,215.90931701660156
39298,chr16,67192154,E2F4,ENSG00000205250.9,+,215.99159240722656
50198,chr21,33479974,TMEM50B,ENSG00000142188.17,-,216.0178985595703
5821,chr2,96536751,ARID5A,ENSG00000196843.17,+,216.06214904785156
11781,chr3,183099577,MCCC1,ENSG00000078070.14,-,216.19349670410156
50369,chr22,18077988,ENSG00000288683,ENSG00000288683.1,+,216.2072296142578
7833,chr2,118014070,CCDC93,ENSG00000125633.11,-,216.41802978515625
43069,chr17,42276397,STAT5B,ENSG00000173757.11,-,216.4229736328125
40002,chr16,18926408,SMG1,ENSG00000157106.18,-,216.435546875
12996,chr4,174283903,CEP44,ENSG00000164118.13,+,216.44427490234375
24982,chr9,76394426,RFK,ENSG00000135002.12,-,216.51634216308594
48347,chr19,55461645,ISOC2,ENSG00000063241.8,-,216.52230834960938
17241,chr6,46129988,ENPP4,ENSG00000001561.7,+,216.6081085205078
4329,chr1,154956121,PBXIP1,ENSG00000163346.17,-,216.64639282226562
21185,chr7,100436497,PPP1R35,ENSG00000160813.7,-,216.65118408203125
33421,chr12,64759431,GNS,ENSG00000135677.11,-,216.65150451660156
27394,chr10,109923511,XPNPEP1,ENSG00000108039.18,-,216.65863037109375
10739,chr3,47513712,ELP6,ENSG00000163832.16,-,216.6605682373047
36353,chr14,73458617,NUMB,ENSG00000133961.21,-,216.6818084716797
37646,chr15,41332591,OIP5,ENSG00000104147.9,-,216.69332885742188
35569,chr14,89955926,TDP1,ENSG00000042088.14,+,216.74319458007812
22329,chr8,95133796,PLEKHF2,ENSG00000175895.5,+,216.78533935546875
13595,chr4,87391149,HSD17B11,ENSG00000198189.11,-,216.79705810546875
44239,chr18,56651360,WDR7,ENSG00000091157.15,+,216.8046112060547
40425,chr16,69385988,TERF2,ENSG00000132604.11,-,216.80465698242188
42527,chr17,8248041,CTC1,ENSG00000178971.17,-,216.80838012695312
744,chr1,40161386,RLF,ENSG00000117000.9,+,216.86888122558594
50181,chr21,32279049,MIS18A,ENSG00000159055.4,-,217.00411987304688
2757,chr1,243256040,SDCCAG8,ENSG00000054282.16,+,217.0321044921875
31870,chr12,56468577,SPRYD4,ENSG00000176422.14,+,217.0553436279297
43086,chr17,42609374,RETREG3,ENSG00000141699.11,-,217.07579040527344
22074,chr8,42896977,HOOK3,ENSG00000168172.9,+,217.0984344482422
17527,chr6,116370946,DSE,ENSG00000111817.19,+,217.1041259765625
53543,chrX,135973684,MMGT1,ENSG00000169446.6,-,217.18675231933594
49011,chr20,45934682,PCIF1,ENSG00000100982.12,+,217.26364135742188
19251,chr7,7640751,UMAD1,ENSG00000219545.12,+,217.2794189453125
33381,chr12,57520511,DDIT3,ENSG00000175197.13,-,217.28294372558594
52885,chrX,37847571,DYNLT3,ENSG00000165169.11,-,217.4425811767578
14850,chr5,136132913,SMAD5,ENSG00000113658.18,+,217.47572326660156
2175,chr1,173868081,ZBTB37,ENSG00000185278.16,+,217.5966796875
43874,chr17,82418586,OGFOD3,ENSG00000181396.13,-,217.6325225830078
17100,chr6,37257771,TBC1D22B,ENSG00000065491.8,+,217.73287963867188
25064,chr9,92115388,SPTLC1,ENSG00000090054.16,-,217.77313232421875
18786,chr6,111483218,REV3L,ENSG00000009413.17,-,217.78466796875
25836,chr10,43138444,CSGALNACT2,ENSG00000169826.8,+,217.822509765625
40426,chr16,69726506,NQO1,ENSG00000181019.13,-,217.91720581054688
5242,chr2,17754137,GEN1,ENSG00000178295.15,+,218.2366943359375
42800,chr17,31321622,EVI2A,ENSG00000126860.12,-,218.24127197265625
34385,chr13,114234978,CDC16,ENSG00000130177.16,+,218.296142578125
8452,chr2,218292503,TMBIM1,ENSG00000135926.15,-,218.325439453125
8423,chr2,214809642,BARD1,ENSG00000138376.11,-,218.33734130859375
12834,chr4,147732087,ARHGAP10,ENSG00000071205.12,+,218.36874389648438
28993,chr11,94973708,KDM4D,ENSG00000186280.7,+,218.37966918945312
31062,chr11,130916479,SNX19,ENSG00000120451.11,-,218.381103515625
52927,chrX,46545441,ZNF674,ENSG00000251192.8,-,218.5374755859375
37421,chr15,90233807,GDPGP1,ENSG00000183208.13,+,218.54519653320312
43820,chr17,81833256,MCRIP1,ENSG00000225663.8,-,218.57028198242188
4198,chr1,151165948,LYSMD1,ENSG00000163155.12,-,218.68649291992188
42004,chr17,76726869,METTL23,ENSG00000181038.14,+,218.84567260742188
10203,chr3,179323030,ZNF639,ENSG00000121864.10,+,218.94631958007812
51034,chr22,21630035,YDJC,ENSG00000161179.14,-,218.94888305664062
30748,chr11,104968574,CASP4,ENSG00000196954.14,-,218.96371459960938
28264,chr11,59107184,FAM111B,ENSG00000189057.11,+,218.9757537841797
47449,chr19,21767579,ZNF100,ENSG00000197020.12,-,218.99752807617188
36365,chr14,73950414,FAM161B,ENSG00000156050.10,-,219.0387725830078
44947,chr19,4007735,PIAS4,ENSG00000105229.7,+,219.04580688476562
8523,chr2,223837602,AP1S3,ENSG00000152056.18,-,219.1194305419922
20515,chr7,2314441,SNX8,ENSG00000106266.11,-,219.1577606201172
43526,chr17,64130144,ERN1,ENSG00000178607.17,-,219.17767333984375
22458,chr8,123416773,NTAQ1,ENSG00000156795.8,+,219.22085571289062
17197,chr6,43576184,POLH,ENSG00000170734.12,+,219.36227416992188
46178,chr19,45692665,QPCTL,ENSG00000011478.13,+,219.36354064941406
24600,chr9,137255326,NELFB,ENSG00000188986.9,+,219.40380859375
28973,chr11,93741663,ENSG00000284057,ENSG00000284057.1,+,219.48583984375
48673,chr20,20052531,CFAP61,ENSG00000089101.19,+,219.48715209960938
25761,chr10,26697700,PDSS1,ENSG00000148459.16,+,219.5178985595703
29404,chr11,134253567,ACAD8,ENSG00000151498.12,+,219.54457092285156
12190,chr4,25377292,ANAPC4,ENSG00000053900.11,+,219.60244750976562
37120,chr15,66293567,DIS3L,ENSG00000166938.13,+,219.6493682861328
44038,chr18,22933327,RBBP8,ENSG00000101773.19,+,219.6553955078125
21591,chr7,151083400,TMUB1,ENSG00000164897.14,-,219.66770935058594
50382,chr22,18906319,DGCR6,ENSG00000183628.14,+,219.69656372070312
43611,chr17,74776365,NAT9,ENSG00000109065.12,-,219.69862365722656
2932,chr1,3650058,WRAP73,ENSG00000116213.16,-,219.728515625
20053,chr7,112450457,IFRD1,ENSG00000006652.15,+,219.7502899169922
52529,chrX,150568610,MTM1,ENSG00000171100.16,+,219.77882385253906
51874,chrX,49235469,CCDC22,ENSG00000101997.13,+,219.80511474609375
36252,chr14,63543377,PPP2R5E,ENSG00000154001.14,-,219.85726928710938
32982,chr12,39619803,ABCD2,ENSG00000173208.4,-,219.87271118164062
9724,chr3,119468962,POGLUT1,ENSG00000163389.12,+,220.04945373535156
14079,chr4,184826034,ACSL1,ENSG00000151726.16,-,220.07083129882812
39075,chr16,31873806,ZNF267,ENSG00000185947.15,+,220.14529418945312
22837,chr8,23225102,TNFRSF10A,ENSG00000104689.10,-,220.19009399414062
24327,chr9,128276275,SWI5,ENSG00000175854.15,+,220.19610595703125
18931,chr6,135497740,AHI1,ENSG00000135541.22,-,220.232421875
5949,chr2,109794304,RGPD5,ENSG00000015568.13,+,220.23374938964844
32944,chr12,30695869,IPO8,ENSG00000133704.10,-,220.26492309570312
16003,chr5,131797016,FNIP1,ENSG00000217128.13,-,220.29742431640625
49250,chr20,462516,TBC1D20,ENSG00000125875.15,-,220.432861328125
27522,chr10,125823196,UROS,ENSG00000188690.15,-,220.4423065185547
49997,chr21,41426141,MX1,ENSG00000157601.15,+,220.52609252929688
29215,chr11,119067817,VPS11,ENSG00000160695.16,+,220.53671264648438
46958,chr19,5903703,ENSG00000267740,ENSG00000267740.5,-,220.59317016601562
1606,chr1,149852607,H3C15,ENSG00000203852.4,+,220.6395721435547
37121,chr15,66386911,MAP2K1,ENSG00000169032.11,+,220.6691131591797
43222,chr17,45490754,PLEKHM1,ENSG00000225190.12,-,220.6809539794922
21554,chr7,148884287,EZH2,ENSG00000106462.12,-,220.69320678710938
48681,chr20,21126051,KIZ,ENSG00000088970.16,+,220.7452392578125
21414,chr7,130051374,ZC3HC1,ENSG00000091732.17,-,220.83335876464844
53831,chrY,21918032,RBMY1E,ENSG00000242389.9,-,220.89048767089844
19246,chr7,7182543,C1GALT1,ENSG00000106392.11,+,221.02484130859375
5053,chr1,236281958,ERO1B,ENSG00000086619.15,-,221.03164672851562
8746,chr3,8501857,LMCD1,ENSG00000071282.12,+,221.04718017578125
39605,chr16,88706482,CTU2,ENSG00000174177.13,+,221.0687255859375
17974,chr6,13711835,RANBP9,ENSG00000010017.13,-,221.07154846191406
45085,chr19,7920337,SNAPC2,ENSG00000104976.13,+,221.084228515625
38933,chr16,29663246,SPN,ENSG00000197471.12,+,221.1173095703125
52720,chrX,7148153,PUDP,ENSG00000130021.15,-,221.1189727783203
17810,chr6,158650013,SYTL3,ENSG00000164674.17,+,221.12088012695312
38315,chr16,53827,SNRNP25,ENSG00000161981.11,+,221.13726806640625
20329,chr7,143288394,CASP2,ENSG00000106144.20,+,221.14901733398438
8608,chr2,233854535,HJURP,ENSG00000123485.12,-,221.22833251953125
45739,chr19,35748575,LIN37,ENSG00000267796.8,+,221.2384033203125
45242,chr19,12610919,ZNF791,ENSG00000173875.14,+,221.36053466796875
26591,chr10,124801818,ABRAXAS2,ENSG00000165660.8,+,221.3665771484375
51818,chrX,48683804,WAS,ENSG00000015285.12,+,221.4091796875
46174,chr19,45507478,VASP,ENSG00000125753.15,+,221.44522094726562
27023,chr10,62816366,EGR2,ENSG00000122877.18,-,221.45596313476562
37638,chr15,40807473,DNAJC17,ENSG00000104129.10,-,221.5326690673828
53828,chrY,21894526,RBMY1D,ENSG00000244395.6,-,221.5853271484375
51003,chr22,19854896,RTL10,ENSG00000215012.9,-,221.6144256591797
35351,chr14,69611595,SUSD6,ENSG00000100647.8,+,221.62265014648438
53174,chrX,71111571,ENSG00000285171,ENSG00000285171.1,-,221.66241455078125
25294,chr9,121370253,STOM,ENSG00000148175.13,-,221.67144775390625
24920,chr9,37904110,SLC25A51,ENSG00000122696.14,-,221.71389770507812
5559,chr2,61905673,COMMD1,ENSG00000173163.11,+,221.90972900390625
9842,chr3,129249605,COPG1,ENSG00000181789.14,+,222.03387451171875
16114,chr5,138213323,CDC23,ENSG00000094880.11,-,222.03741455078125
47138,chr19,11529172,ECSIT,ENSG00000130159.15,-,222.04017639160156
